,D12,well,D3,strain,estradiol,replicate,plate,auc,dgr
267,pdz3,D10,sh33,PL0014,20,1,3.0,8.2495,0.02400000000000002
268,sh31,E10,pdz1,PL0014,20,1,3.0,43.43050000000001,0.07200000000000006
269,sh31,F10,pdz3,PL0014,20,1,3.0,13.724499999999999,0.04800000000000004
270,sh33,G10,pdz1,PL0014,20,1,3.0,6.786499999999999,0.01200000000000001
271,sh33,H10,pdz3,PL0014,20,1,3.0,10.2945,0.03200000000000003
272,pdz1,A11,sh31,PL0014,20,2,3.0,24.090000000000003,0.052000000000000046
273,pdz1,B11,sh33,PL0014,20,2,3.0,4.884499999999999,0.0040000000000000036
274,pdz3,C11,sh31,PL0014,20,2,3.0,8.015,0.020000000000000018
275,pdz3,D11,sh33,PL0014,20,2,3.0,7.453,0.028000000000000025
276,sh31,E11,pdz1,PL0014,20,2,3.0,48.818,0.07999999999999963
277,sh31,F11,pdz3,PL0014,20,2,3.0,13.384999999999998,0.040000000000000036
278,sh33,G11,pdz1,PL0014,20,2,3.0,11.984,0.03600000000000003
279,sh33,H11,pdz3,PL0014,20,2,3.0,16.8155,0.05600000000000005
280,pdz1,A12,sh31,PL0014,20,3,3.0,34.3305,0.06400000000000006
281,pdz1,B12,sh33,PL0014,20,3,3.0,7.224999999999998,0.008000000000000007
282,pdz3,C12,sh31,PL0014,20,3,3.0,10.0575,0.02400000000000002
283,pdz3,D12,sh33,PL0014,20,3,3.0,8.802,0.019999999999999796
284,sh31,E12,pdz1,PL0014,20,3,3.0,50.042,0.07600000000000007
285,sh31,F12,pdz3,PL0014,20,3,3.0,13.0745,0.03600000000000003
286,sh33,G12,pdz1,PL0014,20,3,3.0,10.329,0.02400000000000002
287,sh33,H12,pdz3,PL0014,20,3,3.0,18.116500000000002,0.06400000000000006
288,pdz1,A1,sh31,PL0015,0,1,4.0,5.586999999999999,0.0040000000000000036
289,pdz1,B1,sh33,PL0015,0,1,4.0,4.736500000000001,0.0040000000000000036
290,pdz3,C1,sh31,PL0015,0,1,4.0,5.575999999999999,0.008000000000000007
291,pdz3,D1,sh33,PL0015,0,1,4.0,6.462999999999999,0.008000000000000007
292,sh31,E1,pdz1,PL0015,0,1,4.0,5.753499999999999,0.008000000000000007
293,sh31,F1,pdz3,PL0015,0,1,4.0,6.6819999999999995,0.01200000000000001
294,sh33,G1,pdz1,PL0015,0,1,4.0,8.0105,0.019999999999999796
295,sh33,H1,pdz3,PL0015,0,1,4.0,9.141,0.020000000000000018
